Gender,Experience_Years,Education_Level,Technical_Score,Hired
Male,10,Bachelors,57,0
Female,2,Bachelors,65,0
Male,14,Bachelors,59,1
Male,3,Bachelors,80,0
Female,4,PhD,98,0
Male,12,Bachelors,66,0
Female,5,Masters,93,0
Male,2,Masters,56,0
Male,1,PhD,56,0
Female,13,Bachelors,98,0
Female,12,Masters,47,0
Female,3,Bachelors,49,0
Male,4,Masters,78,0
Female,3,Masters,69,0
Male,13,Masters,79,1
Male,10,Bachelors,55,0
Female,12,Masters,46,0
Male,14,Bachelors,99,1
Female,11,Masters,68,0
Male,2,PhD,59,0
